Product Name,Advisory Number,Date Posted
Ceftriaxone Sodium for Injection 1.0g,FDA Advisory No. 2020-1434,2020-08-03
Chloramphenicol Eye Drops Eye Sight 8ml:20mg,FDA Advisory No. 2020-1434,2020-08-03
Compound Aminophenazone and Barbital Injection 2ml,FDA Advisory No. 2020-1434,2020-08-03
Compound Amionpyrine and Antipyrine Injection 2ml,FDA Advisory No. 2020-1434,2020-08-03
Doxycycline Hyclate Tablets,FDA Advisory No. 2020-1434,2020-08-03
Fat Emulsion Injection 20% 250 ml,FDA Advisory No. 2020-1434,2020-08-03
Folic Acid Tablets 5mg,FDA Advisory No. 2020-1434,2020-08-03
Glucose Injection 5% 100 ml,FDA Advisory No. 2020-1434,2020-08-03
HUAYI® Vitamin C Injection 2ml:0.5g,FDA Advisory No. 2020-1434,2020-08-03
Imodium® 2mg,FDA Advisory No. 2020-1434,2020-08-03
JUCISHAN® Ofloxacin Eye Drops 5ml:15mg,FDA Advisory No. 2020-1434,2020-08-03
Jucishan® Ribavirin Injection 1ml:100mg,FDA Advisory No. 2020-1434,2020-08-03
Levofloxacin Hydrochloride Tablets 0.1g,FDA Advisory No. 2020-1434,2020-08-03
Lysine Acetylsalicylate for Injection 0.,FDA Advisory No. 2020-1434,2020-08-03
Merbromin Solution,FDA Advisory No. 2020-1434,2020-08-03
Methylrosanilinium Chloride Solutio,FDA Advisory No. 2020-1434,2020-08-03
Metronidazole and Sodium Chloride Injection 100 ml,FDA Advisory No. 2020-1434,2020-08-03
Micronomicin Sulfate Injection 2ml:60mg,FDA Advisory No. 2020-1434,2020-08-03
OTC Anti-Hemorrhoids Suppository,FDA Advisory No. 2020-1434,2020-08-03
OTC Ibuprofen Sustained Release Capsule,FDA Advisory No. 2020-1434,2020-08-03
OTC Jinsangzi Houpian [as reflected in the primary packaging] OTC Golden Throat Lozenge [as reflected in the secondary packaging],FDA Advisory No. 2020-1434,2020-08-03
OTC Sucralfate Chewable Tablets,FDA Advisory No. 2020-1434,2020-08-03
Ornidazole and Sodium Chloride Injection 100 ml,FDA Advisory No. 2020-1434,2020-08-03
Oxytocin Injection 1ml:10,FDA Advisory No. 2020-1434,2020-08-03
Potassium Sodium Dehydroandrographolide Succinate for Injection – Zhusheyong Yanhuning 80 mg,FDA Advisory No. 2020-1434,2020-08-03
Progesterone Injection 1ml :20mg,FDA Advisory No. 2020-1434,2020-08-03
QIANGSHEN®Amikacin Sulfate Injection 2ml:0.2g,FDA Advisory No. 2020-1434,2020-08-03
Raceanisodamine Hydrochloride Injection 1ml,FDA Advisory No. 2020-1434,2020-08-03
SINE® Calcium Gluconate Injection 10ml:1g,FDA Advisory No. 2020-1434,2020-08-03
SPH Furazolidone Tablets,FDA Advisory No. 2020-1434,2020-08-03
Sodium Chloride Injection 0.9% 100 ml,FDA Advisory No. 2020-1434,2020-08-03
TS® Ribavirin Injection 1ml:0.1g,FDA Advisory No. 2020-1434,2020-08-03
WY® Metronidazole Tablets 0.2 g,FDA Advisory No. 2020-1434,2020-08-03
Wing Long Red Flower Oil,FDA Advisory No. 2020-1434,2020-08-03
yatai® Aciclovir Tablets 0.1 g,FDA Advisory No. 2020-1434,2020-08-03
Dapo-Xetine V9 Capsules 10’s,FDA Advisory No. 2020-1548,2020-09-16
Fritillariae Expectorant Capsules 10’s,FDA Advisory No. 2020-1548,2020-09-16
Imperial Male Tonic Capsules 20’s,FDA Advisory No. 2020-1548,2020-09-16
Lu-Shen-Wan Pills 10’s,FDA Advisory No. 2020-1548,2020-09-16
Overseas Cold Tablet 6’s,FDA Advisory No. 2020-1548,2020-09-16
Jinling Fast-Act Cold Capsules 10’s,FDA Advisory No. 2020-1549,2020-09-16
Wong Tai Chiu Medicine Fty. Ser Lee Tan 6’s,FDA Advisory No. 2020-1549,2020-09-16
Extra Strength Original Super-Herb Power 2017 Capsules 6’s,FDA Advisory No. 2020-1550,2020-09-17
Extra Strong Power Capsule 10’s,FDA Advisory No. 2020-1550,2020-09-17
Improved Formula King 1800 mg Pills 5’s,FDA Advisory No. 2020-1550,2020-09-17
Japan Tengsu 0.5g/Tablet,FDA Advisory No. 2020-1550,2020-09-17
Snake Brand Snake Bones pills 20’s,FDA Advisory No. 2020-1551,2020-09-17
VIXA Skineal® Cream 15 g,FDA Advisory No. 2020-1551,2020-09-17
Kuyo Para Sa Pigsa”,FDA Advisory No. 2020-1552,2020-09-17
“Kuyo Para sa Pigsa”,FDA Advisory No. 2020-1552-A,
EQUALINE® Original Ointment First Aid Antibiotic Bacitracin Zinc. Neomycin Sulfate. Polymyxin B Sulfate,FDA Advisory No. 2020-1553,2020-09-17
Family CareTM Triple Antibiotic Ointment Bacitracin Zinc/ Neomycin Sulfate/ Polymyxin B Sulfate First Aid Antibiotic,FDA Advisory No. 2020-1553,2020-09-17
Lucky Super Soft® Bacitracin Zinc First Aid Antibiotic Ointment,FDA Advisory No. 2020-1553,2020-09-17
Sure Moringa Wonder Oil Liniment 60 mL,FDA Advisory No. 2020-1554,2020-09-17
“Sure Moringa Wonder Oil Liniment 60 mL,FDA Advisory No. 2020-1554-A,2020-09-17
Isopropyl Alcohol (Unscented) 70% Solution,FDA Advisory No. 2020-1558,2020-09-17
ETHYL ALCOHOL 70% SOLUTION 1 L,FDA Advisory No. 2020-1559,2020-09-17
ISOPROPYL ALCOHOL 70% (CLINSUP) SOLUTION 1 Gallon,FDA Advisory No. 2020-1560,2020-09-17
"70% PURE ETHYL ALCOHOL (ANTI-VIRUS), CORONA VIRUS FIGHTER 1 L",FDA Advisory No. 2020-1561,2020-09-17
Mika Love Isopropyl Alcohol 70% with Moisturizer 250 mL,FDA Advisory No. 2020-1562,2020-09-17
"ETHYL ALCOHOL 70% SOLUTION, DISINFECTANT / ANTISEPTIC 500 mL",FDA Advisory No. 2020-1563,2020-09-17
China Time-Honored Brand Paishi Keli 20g (as reflected in the package insert),FDA Advisory No. 2020-1601,2020-09-17
Diclofenac Sodium Sustained-Release Capsules,FDA Advisory No. 2020-1601,2020-09-17
The Rap of China Hiphop,FDA Advisory No. 2020-1601,2020-09-17
The Rap of China Rapper,FDA Advisory No. 2020-1601,2020-09-17
Hongmi® Dysmenorrhea Paste,FDA Advisory No. 2020-1602,2020-09-17
OTC Huangqi Jing,FDA Advisory No. 2020-1602,2020-09-17
OTC Pai Du Yang Yan Jiao Nang,FDA Advisory No. 2020-1602,2020-09-17
OTC Yiqi Yangxue Koufu Ye,FDA Advisory No. 2020-1602,2020-09-17
OTC Domperidone Tablets-Duopanlitong Pian (as reflected in the package insert),FDA Advisory No. 2020-1603,2020-09-17
OTC Newway Loratadine Tablets,FDA Advisory No. 2020-1603,2020-09-17
OTC She Xiang Zhi Chuang Shuan,FDA Advisory No. 2020-1603,2020-09-17
OTC Shexiang Qutong Chaji 56ml,FDA Advisory No. 2020-1603,2020-09-17
Win-Hey® Xuesaitong Pian,FDA Advisory No. 2020-1603,2020-09-17
Fu Yan Ling Jiao Nang,FDA Advisory No. 2020-1604,2020-09-17
OTC Ichthammol Ointment – Yushizhi Ruangao,FDA Advisory No. 2020-1604,2020-09-17
OTC Jin Sang Qing Yin Wan,FDA Advisory No. 2020-1604,2020-09-17
OTC Lincomycin Hydrochloride and Lidocaine Hydrochloride Gel),FDA Advisory No. 2020-1604,2020-09-17
Angong Jiangya Wan 32g,FDA Advisory No. 2020-1605,2020-09-18
Jianwei Zheng Chang Wan (Zheng Pai),FDA Advisory No. 2020-1605,2020-09-18
Rupixiao Pian,FDA Advisory No. 2020-1605,2020-09-18
SH Alenicvo Hidevenc,FDA Advisory No. 2020-1605,2020-09-18
SH Xdajkdfhp Nsteinbal,FDA Advisory No. 2020-1605,2020-09-18
Bullhead Brand® Te Xian Tong Feng Ling,FDA Advisory No. 2020-1606,2020-09-18
OTC Mayinglong Musk Hemorrhoids Ointment – Mayinglong Shexiang Zhichuang Gao (as reflected in the package insert),FDA Advisory No. 2020-1606,2020-09-18
OTC Qiangli Pipa Lu (as reflected in the package insert),FDA Advisory No. 2020-1606,2020-09-18
Tetracycline Tablets,FDA Advisory No. 2020-1606,2020-09-18
Zocon Tablets,FDA Advisory No. 2020-1606,2020-09-18
LN® Cefradine Capsules,FDA Advisory No. 2020-1607,2020-09-18
Label in foreign language,FDA Advisory No. 2020-1607,2020-09-18
Longsheng® Niuhuang Jiedu Pian (as reflected in the package insert),FDA Advisory No. 2020-1607,2020-09-18
